"cle_unique";"colonne";"valeur"
E2098670_P1_19;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html
E2098670_P1_19;taille_du_fichier;55
E2098670_P2_20;date_heure_recuperation;2023-12-13
E2098670_P2_20;nom_fichier;2023-12-13-10-13572-AVIS-SOC-GLASSDOOR-E2098670_P2.html
E2098670_P2_20;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E2098670_P2_20;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E2098670_P2_20;source_du_fichier;GLASSDOOR
E2098670_P2_20;type_du_fichier;AVIS-SOC
E2098670_P2_20;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13572-AVIS-SOC-GLASSDOOR-E2098670_P2.html
E2098670_P2_20;taille_du_fichier;55
E1130973_P1_21;date_heure_recuperation;2023-12-13
E1130973_P1_21;nom_fichier;2023-12-13-10-13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html
E1130973_P1_21;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1130973_P1_21;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1130973_P1_21;source_du_fichier;GLASSDOOR
E1130973_P1_21;type_du_fichier;AVIS-SOC
E1130973_P1_21;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html
E1130973_P1_21;taille_du_fichier;55
E1130973_P2_22;date_heure_recuperation;2023-12-13
E1130973_P2_22;nom_fichier;2023-12-13-10-13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html
E1130973_P2_22;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1130973_P2_22;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1130973_P2_22;source_du_fichier;GLASSDOOR
E1130973_P2_22;type_du_fichier;AVIS-SOC
E1130973_P2_22;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html
E1130973_P2_22;taille_du_fichier;55
E1922609_P1_23;date_heure_recuperation;2023-12-13
E1922609_P1_23;nom_fichier;2023-12-13-10-13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html
